"Brand","Model","Minivan","Wagon","Pickup","Automatic","EngineSize","Cylinders","CityMPG","HwyMPG","SUV","AWD","Hybrid"
"KIA","Spectra","0.0","0.0","0.0","1.0","2.0","4.0","24.0","34.0","0.0","0.0","0.0"
"MAZDA","","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","24.0","29.0","0.0","0.0","0.0"
"MAZDA","B2300 2WD","0.0","0.0","1.0","0.0","2.3000000000000003","4.0","24.0","29.0","0.0","0.0","0.0"
"MAZDA","Tribute 2WD","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","24.0","29.0","1.0","0.0","0.0"
"MERCEDES-BENZ","C230 Kompressor","0.0","0.0","0.0","1.0","1.8","4.0","24.0","32.0","0.0","0.0","0.0"
"NISSAN","Altima","0.0","0.0","0.0","0.0","2.5","4.0","24.0","31.0","0.0","0.0","0.0"
"PONTIAC","Sunfire","0.0","0.0","0.0","1.0","2.2","4.0","24.0","34.0","0.0","0.0","0.0"
"SATURN","Ion","0.0","0.0","0.0","1.0","2.2","4.0","24.0","32.0","0.0","0.0","0.0"
"SUZUKI","Aerio AWD","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","24.0","29.0","0.0","1.0","0.0"
"SUZUKI","Aerio SX AWD","0.0","1.0","0.0","1.0","2.3000000000000003","4.0","24.0","29.0","0.0","1.0","0.0"
"TOYOTA","Camry","0.0","0.0","0.0","1.0","2.4","4.0","24.0","34.0","0.0","0.0","0.0"
"TOYOTA","Camry","0.0","0.0","0.0","0.0","2.4","4.0","24.0","33.0","0.0","0.0","0.0"
"TOYOTA","Camry Solara","0.0","0.0","0.0","0.0","2.4","4.0","24.0","33.0","0.0","0.0","0.0"
"TOYOTA","Celica","0.0","0.0","0.0","0.0","1.8","4.0","24.0","33.0","0.0","0.0","0.0"
"TOYOTA","Rav4 2WD","0.0","0.0","0.0","1.0","2.4","4.0","24.0","29.0","1.0","0.0","0.0"
"TOYOTA","Rav4 2WD","0.0","0.0","0.0","0.0","2.4","4.0","24.0","30.0","1.0","0.0","0.0"
"VOLKSWAGEN","Golf","0.0","0.0","0.0","1.0","2.0","4.0","24.0","30.0","0.0","0.0","0.0"
"VOLKSWAGEN","Golf","0.0","0.0","0.0","0.0","2.0","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","GTI","0.0","0.0","0.0","0.0","1.8","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta","0.0","0.0","0.0","0.0","1.8","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta","0.0","0.0","0.0","1.0","2.0","4.0","24.0","30.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta","0.0","0.0","0.0","0.0","2.0","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta Wagon","0.0","1.0","0.0","0.0","1.8","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta Wagon","0.0","1.0","0.0","0.0","2.0","4.0","24.0","30.0","0.0","0.0","0.0"
"VOLKSWAGEN","New Beetle","0.0","0.0","0.0","0.0","2.0","4.0","24.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","New Beetle Conv","0.0","0.0","0.0","0.0","2.0","4.0","24.0","30.0","0.0","0.0","0.0"
"ACURA","RSX","0.0","0.0","0.0","0.0","2.0","4.0","23.0","31.0","0.0","0.0","0.0"
"AUDI","A4","0.0","0.0","0.0","1.0","1.8","4.0","23.0","29.0","0.0","0.0","0.0"
"AUDI","A4","0.0","0.0","0.0","0.0","2.0","4.0","23.0","34.0","0.0","0.0","0.0"
"AUDI","A4 Cabriolet","0.0","0.0","0.0","1.0","1.8","4.0","23.0","30.0","0.0","0.0","0.0"
"CHEVROLET","Cobalt","0.0","0.0","0.0","0.0","2.0","4.0","23.0","29.0","0.0","0.0","0.0"
"HONDA","CR-V 2WD","0.0","0.0","0.0","1.0","2.4","4.0","23.0","29.0","1.0","0.0","0.0"
"KIA","Optima","0.0","0.0","0.0","0.0","2.4","4.0","23.0","30.0","0.0","0.0","0.0"
"LOTUS","Elise/Exige","0.0","0.0","0.0","0.0","1.8","4.0","23.0","27.0","0.0","0.0","0.0"
"MAZDA","","0.0","0.0","0.0","0.0","2.3000000000000003","4.0","23.0","31.0","0.0","0.0","0.0"
"MAZDA","","0.0","0.0","0.0","1.0","2.3000000000000003","4.0","23.0","28.0","0.0","0.0","0.0"
"MAZDA","MX-5 Miata","0.0","0.0","0.0","0.0","1.8","4.0","23.0","28.0","0.0","0.0","0.0"
"MAZDA","MX-5 Miata","0.0","0.0","0.0","0.0","1.8","4.0","23.0","28.0","0.0","0.0","0.0"
"MERCEDES-BENZ","C230 Kompressor","0.0","0.0","0.0","0.0","1.8","4.0","23.0","32.0","0.0","0.0","0.0"
"MERCEDES-BENZ","C230 Kompressor Sports Coupe","0.0","0.0","0.0","1.0","1.8","4.0","23.0","32.0","0.0","0.0","0.0"
"MERCEDES-BENZ","C230 Kompressor Sports Coupe","0.0","0.0","0.0","0.0","1.8","4.0","23.0","31.0","0.0","0.0","0.0"
"MINI","Cooper S","0.0","0.0","0.0","1.0","1.6","4.0","23.0","32.0","0.0","0.0","0.0"
"MINI","Cooper S Conv","0.0","0.0","0.0","1.0","1.6","4.0","23.0","32.0","0.0","0.0","0.0"
"MITSUBISHI","Eclipse","0.0","0.0","0.0","0.0","2.4","4.0","23.0","31.0","0.0","0.0","0.0"
"MITSUBISHI","Eclipse Spyder","0.0","0.0","0.0","0.0","2.4","4.0","23.0","31.0","0.0","0.0","0.0"
"MITSUBISHI","Galant","0.0","0.0","0.0","1.0","2.4","4.0","23.0","30.0","0.0","0.0","0.0"
"MITSUBISHI","Lancer","0.0","0.0","0.0","0.0","2.4","4.0","23.0","29.0","0.0","0.0","0.0"
"NISSAN","Altima","0.0","0.0","0.0","1.0","2.5","4.0","23.0","29.0","0.0","0.0","0.0"
"NISSAN","Sentra","0.0","0.0","0.0","1.0","2.5","4.0","23.0","28.0","0.0","0.0","0.0"
"NISSAN","Sentra","0.0","0.0","0.0","0.0","2.5","4.0","23.0","29.0","0.0","0.0","0.0"
"SAAB","9-2X Wagon AWD","0.0","1.0","0.0","1.0","2.5","4.0","23.0","29.0","0.0","1.0","0.0"
"SATURN","Ion","0.0","0.0","0.0","0.0","2.0","4.0","23.0","29.0","0.0","0.0","0.0"
"SATURN","Vue FWD","0.0","0.0","0.0","0.0","2.2","4.0","23.0","29.0","1.0","0.0","0.0"
"SCION","tC","0.0","0.0","0.0","1.0","2.4","4.0","23.0","30.0","0.0","0.0","0.0"
"SUBARU","Forester AWD","0.0","0.0","0.0","0.0","2.5","4.0","23.0","30.0","1.0","1.0","0.0"
"SUBARU","Impreza AWD","0.0","0.0","0.0","0.0","2.5","4.0","23.0","30.0","0.0","1.0","0.0"
"SUBARU","Impreza Wagon/Outback SPT AWD","0.0","1.0","0.0","0.0","2.5","4.0","23.0","30.0","0.0","1.0","0.0"
"SUBARU","Legacy AWD","0.0","0.0","0.0","0.0","2.5","4.0","23.0","30.0","0.0","1.0","0.0"
"SUBARU","Legacy Wagon AWD","0.0","1.0","0.0","0.0","2.5","4.0","23.0","30.0","0.0","1.0","0.0"
"SUBARU","Outback Wagon AWD","0.0","0.0","0.0","0.0","2.5","4.0","23.0","28.0","1.0","1.0","0.0"
"TOYOTA","Camry Solara","0.0","0.0","0.0","1.0","2.4","4.0","23.0","32.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta Wagon","0.0","1.0","0.0","1.0","2.0","4.0","23.0","29.0","0.0","0.0","0.0"
"CHEVROLET","Malibu","0.0","0.0","0.0","1.0","3.5","6.0","22.0","32.0","0.0","0.0","0.0"
"CHEVROLET","Malibu MAXX","0.0","0.0","0.0","1.0","3.5","6.0","22.0","30.0","0.0","0.0","0.0"
"PONTIAC","G6","0.0","0.0","0.0","1.0","3.5","6.0","22.0","32.0","0.0","0.0","0.0"
"TOYOTA","Avalon","0.0","0.0","0.0","1.0","3.5","6.0","22.0","31.0","0.0","0.0","0.0"
"VOLKSWAGEN","GTI","0.0","0.0","0.0","0.0","2.8000000000000003","6.0","22.0","29.0","0.0","0.0","0.0"
"VOLKSWAGEN","Jetta","0.0","0.0","0.0","0.0","2.5","5.0","22.0","30.0","0.0","0.0","0.0"
