Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
KIA	Spectra	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	24.000000	34.000000	0.000000	0.000000	0.000000
MAZDA		0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	24.000000	29.000000	0.000000	0.000000	0.000000
MAZDA	B2300 2WD	0.000000	0.000000	1.000000	0.000000	2.300000	4.000000	24.000000	29.000000	0.000000	0.000000	0.000000
MAZDA	Tribute 2WD	0.000000	0.000000	0.000000	0.000000	2.300000	4.000000	24.000000	29.000000	1.000000	0.000000	0.000000
MERCEDES-BENZ	C230 Kompressor	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
NISSAN	Altima	0.000000	0.000000	0.000000	0.000000	2.500000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
PONTIAC	Sunfire	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	24.000000	34.000000	0.000000	0.000000	0.000000
SATURN	Ion	0.000000	0.000000	0.000000	1.000000	2.200000	4.000000	24.000000	32.000000	0.000000	0.000000	0.000000
SUZUKI	Aerio AWD	0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	24.000000	29.000000	0.000000	1.000000	0.000000
SUZUKI	Aerio SX AWD	0.000000	1.000000	0.000000	1.000000	2.300000	4.000000	24.000000	29.000000	0.000000	1.000000	0.000000
TOYOTA	Camry	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	24.000000	34.000000	0.000000	0.000000	0.000000
TOYOTA	Camry	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	24.000000	33.000000	0.000000	0.000000	0.000000
TOYOTA	Camry Solara	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	24.000000	33.000000	0.000000	0.000000	0.000000
TOYOTA	Celica	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	24.000000	33.000000	0.000000	0.000000	0.000000
TOYOTA	Rav4 2WD	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	24.000000	29.000000	1.000000	0.000000	0.000000
TOYOTA	Rav4 2WD	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	24.000000	30.000000	1.000000	0.000000	0.000000
VOLKSWAGEN	Golf	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	24.000000	30.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Golf	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	GTI	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	24.000000	30.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta Wagon	0.000000	1.000000	0.000000	0.000000	1.800000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta Wagon	0.000000	1.000000	0.000000	0.000000	2.000000	4.000000	24.000000	30.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	24.000000	31.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle Conv	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	24.000000	30.000000	0.000000	0.000000	0.000000
ACURA	RSX	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	23.000000	31.000000	0.000000	0.000000	0.000000
AUDI	A4	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
AUDI	A4	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	23.000000	34.000000	0.000000	0.000000	0.000000
AUDI	A4 Cabriolet	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	23.000000	30.000000	0.000000	0.000000	0.000000
CHEVROLET	Cobalt	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	23.000000	29.000000	0.000000	0.000000	0.000000
HONDA	CR-V 2WD	0.000000	0.000000	0.000000	1.000000	2.400000	4.000000	23.000000	29.000000	1.000000	0.000000	0.000000
KIA	Optima	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	23.000000	30.000000	0.000000	0.000000	0.000000
LOTUS	Elise/Exige	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	23.000000	27.000000	0.000000	0.000000	0.000000
MAZDA		0.000000	0.000000	0.000000	0.000000	2.300000	4.000000	23.000000	31.000000	0.000000	0.000000	0.000000
